"lat","lon","time","total"
25,-81.4,2015-04-18,-Inf
25,-81.4,2015-04-19,-Inf
25,-81.4,2015-04-20,-Inf
25,-81.4,2015-04-21,-Inf
25,-81.4,2015-04-22,-Inf
25,-81.4,2015-04-23,-Inf
25,-81.4,2015-04-24,-Inf
25,-81.4,2015-04-25,-Inf
25,-81.4,2015-04-26,-Inf
25,-81.4,2015-04-27,-Inf
25,-81.4,2015-04-28,-Inf
25,-81.4,2015-04-29,-Inf
25,-81.4,2015-04-30,-Inf
25,-81.3,2015-04-01,-Inf
25,-81.3,2015-04-02,-Inf
25,-81.3,2015-04-03,-Inf
25,-81.3,2015-04-04,-Inf
25,-81.3,2015-04-05,-Inf
25,-81.3,2015-04-06,-Inf
25,-81.3,2015-04-07,-Inf
25,-81.3,2015-04-08,-Inf
25,-81.3,2015-04-09,-Inf
25,-81.3,2015-04-10,-Inf
25,-81.3,2015-04-11,-Inf
25,-81.3,2015-04-12,-Inf
25,-81.3,2015-04-13,-Inf
25,-81.3,2015-04-14,-Inf
25,-81.3,2015-04-15,-Inf
25,-81.3,2015-04-16,-Inf
25,-81.3,2015-04-17,-Inf
25,-81.3,2015-04-18,-Inf
25,-81.3,2015-04-19,-Inf
25,-81.3,2015-04-20,-Inf
25,-81.3,2015-04-21,-Inf
25,-81.3,2015-04-22,-Inf
25,-81.3,2015-04-23,-Inf
25,-81.3,2015-04-24,-Inf
25,-81.3,2015-04-25,-Inf
25,-81.3,2015-04-26,-Inf
25,-81.3,2015-04-27,-Inf
25,-81.3,2015-04-28,-Inf
25,-81.3,2015-04-29,-Inf
25,-81.3,2015-04-30,-Inf
25,-81.2,2015-04-01,-Inf
25,-81.2,2015-04-02,-Inf
25,-81.2,2015-04-03,-Inf
25,-81.2,2015-04-04,-Inf
25,-81.2,2015-04-05,-Inf
25,-81.2,2015-04-06,-Inf
25,-81.2,2015-04-07,-Inf
25,-81.2,2015-04-08,-Inf
25,-81.2,2015-04-09,-Inf
25,-81.2,2015-04-10,-Inf
25,-81.2,2015-04-11,-Inf
25,-81.2,2015-04-12,-Inf
25,-81.2,2015-04-13,-Inf
25,-81.2,2015-04-14,-Inf
25,-81.2,2015-04-15,-Inf
25,-81.2,2015-04-16,-Inf
25,-81.2,2015-04-17,-Inf
25,-81.2,2015-04-18,-Inf
25,-81.2,2015-04-19,-Inf
25,-81.2,2015-04-20,-Inf
25,-81.2,2015-04-21,-Inf
25,-81.2,2015-04-22,-Inf
25,-81.2,2015-04-23,-Inf
25,-81.2,2015-04-24,-Inf
25,-81.2,2015-04-25,-Inf
25,-81.2,2015-04-26,-Inf
25,-81.2,2015-04-27,-Inf
25,-81.2,2015-04-28,-Inf
25,-81.2,2015-04-29,-Inf
25,-81.2,2015-04-30,-Inf
25,-81.1,2015-04-01,-Inf
25,-81.1,2015-04-02,-Inf
25,-81.1,2015-04-03,-Inf
25,-81.1,2015-04-04,-Inf
25,-81.1,2015-04-05,-Inf
25,-81.1,2015-04-06,-Inf
25,-81.1,2015-04-07,-Inf
25,-81.1,2015-04-08,-Inf
25,-81.1,2015-04-09,-Inf
25,-81.1,2015-04-10,-Inf
25,-81.1,2015-04-11,-Inf
25,-81.1,2015-04-12,-Inf
25,-81.1,2015-04-13,-Inf
25,-81.1,2015-04-14,-Inf
25,-81.1,2015-04-15,-Inf
25,-81.1,2015-04-16,-Inf
25,-81.1,2015-04-17,-Inf
25,-81.1,2015-04-18,-Inf
25,-81.1,2015-04-19,-Inf
25,-81.1,2015-04-20,-Inf
25,-81.1,2015-04-21,-Inf
25,-81.1,2015-04-22,-Inf
25,-81.1,2015-04-23,-Inf
25,-81.1,2015-04-24,-Inf
25,-81.1,2015-04-25,-Inf
25,-81.1,2015-04-26,-Inf
25,-81.1,2015-04-27,-Inf
25,-81.1,2015-04-28,-Inf
25,-81.1,2015-04-29,-Inf
25,-81.1,2015-04-30,-Inf
25,-81,2015-04-01,-Inf
25,-81,2015-04-02,-Inf
25,-81,2015-04-03,-Inf
25,-81,2015-04-04,-Inf
25,-81,2015-04-05,-Inf
25,-81,2015-04-06,-Inf
25,-81,2015-04-07,-Inf
25,-81,2015-04-08,-Inf
25,-81,2015-04-09,-Inf
25,-81,2015-04-10,-Inf
25,-81,2015-04-11,-Inf
25,-81,2015-04-12,-Inf
25,-81,2015-04-13,-Inf
25,-81,2015-04-14,-Inf
25,-81,2015-04-15,-Inf
25,-81,2015-04-16,-Inf
25,-81,2015-04-17,-Inf
25,-81,2015-04-18,-Inf
25,-81,2015-04-19,-Inf
25,-81,2015-04-20,-Inf
25,-81,2015-04-21,-Inf
25,-81,2015-04-22,-Inf
25,-81,2015-04-23,-Inf
25,-81,2015-04-24,-Inf
25,-81,2015-04-25,-Inf
25,-81,2015-04-26,-Inf
25,-81,2015-04-27,-Inf
25,-81,2015-04-28,-Inf
25,-81,2015-04-29,-Inf
25,-81,2015-04-30,-Inf
25,-80.9,2015-04-01,-Inf
25,-80.9,2015-04-02,-Inf
25,-80.9,2015-04-03,-Inf
25,-80.9,2015-04-04,-Inf
25,-80.9,2015-04-05,-Inf
25,-80.9,2015-04-06,-Inf
25,-80.9,2015-04-07,-Inf
25,-80.9,2015-04-08,-Inf
25,-80.9,2015-04-09,-Inf
25,-80.9,2015-04-10,-Inf
25,-80.9,2015-04-11,-Inf
25,-80.9,2015-04-12,-Inf
25,-80.9,2015-04-13,-Inf
25,-80.9,2015-04-14,-Inf
25,-80.9,2015-04-15,-Inf
25,-80.9,2015-04-16,-Inf
25,-80.9,2015-04-17,-Inf
25,-80.9,2015-04-18,-Inf
25,-80.9,2015-04-19,-Inf
25,-80.9,2015-04-20,-Inf
25,-80.9,2015-04-21,-Inf
25,-80.9,2015-04-22,-Inf
25,-80.9,2015-04-23,-Inf
25,-80.9,2015-04-24,-Inf
25,-80.9,2015-04-25,-Inf
25,-80.9,2015-04-26,-Inf
25,-80.9,2015-04-27,-Inf
25,-80.9,2015-04-28,-Inf
25,-80.9,2015-04-29,-Inf
25,-80.9,2015-04-30,-Inf
25,-80.8,2015-04-01,-Inf
25,-80.8,2015-04-02,-Inf
25,-80.8,2015-04-03,-Inf
25,-80.8,2015-04-04,-Inf
25,-80.8,2015-04-05,-Inf
25,-80.8,2015-04-06,-Inf
25,-80.8,2015-04-07,-Inf
25,-80.8,2015-04-08,-Inf
25,-80.8,2015-04-09,-Inf
25,-80.8,2015-04-10,-Inf
25,-80.8,2015-04-11,-Inf
25,-80.8,2015-04-12,-Inf
25,-80.8,2015-04-13,-Inf
25,-80.8,2015-04-14,-Inf
25,-80.8,2015-04-15,-Inf
25,-80.8,2015-04-16,-Inf
25,-80.8,2015-04-17,-Inf
25,-80.8,2015-04-18,-Inf
25,-80.8,2015-04-19,-Inf
25,-80.8,2015-04-20,-Inf
25,-80.8,2015-04-21,-Inf
25,-80.8,2015-04-22,-Inf
25,-80.8,2015-04-23,-Inf
25,-80.8,2015-04-24,-Inf
25,-80.8,2015-04-25,-Inf
25,-80.8,2015-04-26,-Inf
25,-80.8,2015-04-27,-Inf
25,-80.8,2015-04-28,-Inf
25,-80.8,2015-04-29,-Inf
25,-80.8,2015-04-30,-Inf
25,-80.7,2015-04-01,-Inf
25,-80.7,2015-04-02,-Inf
25,-80.7,2015-04-03,-Inf
25,-80.7,2015-04-04,-Inf
25,-80.7,2015-04-05,-Inf
25,-80.7,2015-04-06,-Inf
25,-80.7,2015-04-07,-Inf
25,-80.7,2015-04-08,-Inf
25,-80.7,2015-04-09,-Inf
25,-80.7,2015-04-10,-Inf
25,-80.7,2015-04-11,-Inf
25,-80.7,2015-04-12,-Inf
25,-80.7,2015-04-13,-Inf
25,-80.7,2015-04-14,-Inf
25,-80.7,2015-04-15,-Inf
25,-80.7,2015-04-16,-Inf
25,-80.7,2015-04-17,-Inf
25,-80.7,2015-04-18,-Inf
25,-80.7,2015-04-19,-Inf
25,-80.7,2015-04-20,-Inf
25,-80.7,2015-04-21,-Inf
25,-80.7,2015-04-22,-Inf
25,-80.7,2015-04-23,-Inf
25,-80.7,2015-04-24,-Inf
25,-80.7,2015-04-25,-Inf
25,-80.7,2015-04-26,-Inf
25,-80.7,2015-04-27,-Inf
25,-80.7,2015-04-28,-Inf
25,-80.7,2015-04-29,-Inf
25,-80.7,2015-04-30,-Inf
25,-80.6,2015-04-01,-Inf
25,-80.6,2015-04-02,-Inf
25,-80.6,2015-04-03,-Inf
25,-80.6,2015-04-04,-Inf
25,-80.6,2015-04-05,-Inf
25,-80.6,2015-04-06,-Inf
25,-80.6,2015-04-07,-Inf
25,-80.6,2015-04-08,-Inf
25,-80.6,2015-04-09,-Inf
25,-80.6,2015-04-10,-Inf
25,-80.6,2015-04-11,-Inf
25,-80.6,2015-04-12,-Inf
25,-80.6,2015-04-13,-Inf
25,-80.6,2015-04-14,-Inf
25,-80.6,2015-04-15,-Inf
25,-80.6,2015-04-16,-Inf
25,-80.6,2015-04-17,-Inf
25,-80.6,2015-04-18,-Inf
25,-80.6,2015-04-19,-Inf
25,-80.6,2015-04-20,-Inf
25,-80.6,2015-04-21,-Inf
25,-80.6,2015-04-22,-Inf
25,-80.6,2015-04-23,-Inf
25,-80.6,2015-04-24,-Inf
25,-80.6,2015-04-25,-Inf
25,-80.6,2015-04-26,-Inf
25,-80.6,2015-04-27,-Inf
25,-80.6,2015-04-28,-Inf
25,-80.6,2015-04-29,-Inf
25,-80.6,2015-04-30,-Inf
25,-80.5,2015-04-01,-Inf
25,-80.5,2015-04-02,-Inf
25,-80.5,2015-04-03,-Inf
25,-80.5,2015-04-04,-Inf
25,-80.5,2015-04-05,-Inf
25,-80.5,2015-04-06,-Inf
25,-80.5,2015-04-07,-Inf
25,-80.5,2015-04-08,-Inf
25,-80.5,2015-04-09,-Inf
25,-80.5,2015-04-10,-Inf
25,-80.5,2015-04-11,-Inf
25,-80.5,2015-04-12,-Inf
25,-80.5,2015-04-13,-Inf
25,-80.5,2015-04-14,-Inf
25,-80.5,2015-04-15,-Inf
25,-80.5,2015-04-16,-Inf
25,-80.5,2015-04-17,-Inf
25,-80.5,2015-04-18,-Inf
25,-80.5,2015-04-19,-Inf
25,-80.5,2015-04-20,-Inf
25,-80.5,2015-04-21,-Inf
25,-80.5,2015-04-22,-Inf
25,-80.5,2015-04-23,-Inf
25,-80.5,2015-04-24,-Inf
25,-80.5,2015-04-25,-Inf
25,-80.5,2015-04-26,-Inf
25,-80.5,2015-04-27,-Inf
25,-80.5,2015-04-28,-Inf
25,-80.5,2015-04-29,-Inf
25,-80.5,2015-04-30,-Inf
25,-80.4,2015-04-01,-Inf
25,-80.4,2015-04-02,-Inf
25,-80.4,2015-04-03,-Inf
25,-80.4,2015-04-04,-Inf
25,-80.4,2015-04-05,-Inf
25,-80.4,2015-04-06,-Inf
25,-80.4,2015-04-07,-Inf
25,-80.4,2015-04-08,-Inf
25,-80.4,2015-04-09,-Inf
25,-80.4,2015-04-10,-Inf
25,-80.4,2015-04-11,-Inf
25,-80.4,2015-04-12,-Inf
25,-80.4,2015-04-13,-Inf
25,-80.4,2015-04-14,-Inf
25,-80.4,2015-04-15,-Inf
25,-80.4,2015-04-16,-Inf
25,-80.4,2015-04-17,-Inf
25,-80.4,2015-04-18,-Inf
25,-80.4,2015-04-19,-Inf
25,-80.4,2015-04-20,-Inf
25,-80.4,2015-04-21,-Inf
25,-80.4,2015-04-22,-Inf
25,-80.4,2015-04-23,-Inf
25,-80.4,2015-04-24,-Inf
25,-80.4,2015-04-25,-Inf
25,-80.4,2015-04-26,-Inf
25,-80.4,2015-04-27,-Inf
25,-80.4,2015-04-28,-Inf
25,-80.4,2015-04-29,-Inf
25,-80.4,2015-04-30,-Inf
25,-80.3,2015-04-01,-Inf
25,-80.3,2015-04-02,-Inf
25,-80.3,2015-04-03,-Inf
25,-80.3,2015-04-04,-Inf
25,-80.3,2015-04-05,-Inf
25,-80.3,2015-04-06,-Inf
25,-80.3,2015-04-07,-Inf
25,-80.3,2015-04-08,-Inf
25,-80.3,2015-04-09,-Inf
25,-80.3,2015-04-10,-Inf
25,-80.3,2015-04-11,-Inf
25,-80.3,2015-04-12,-Inf
25,-80.3,2015-04-13,-Inf
25,-80.3,2015-04-14,-Inf
25,-80.3,2015-04-15,-Inf
25,-80.3,2015-04-16,-Inf
25,-80.3,2015-04-17,-Inf
25,-80.3,2015-04-18,-Inf
25,-80.3,2015-04-19,-Inf
25,-80.3,2015-04-20,-Inf
25,-80.3,2015-04-21,-Inf
25,-80.3,2015-04-22,-Inf
25,-80.3,2015-04-23,-Inf
25,-80.3,2015-04-24,-Inf
25,-80.3,2015-04-25,-Inf
25,-80.3,2015-04-26,-Inf
25,-80.3,2015-04-27,-Inf
25,-80.3,2015-04-28,-Inf
25,-80.3,2015-04-29,-Inf
25,-80.3,2015-04-30,-Inf
25,-80.2,2015-04-01,-Inf
25,-80.2,2015-04-02,-Inf
25,-80.2,2015-04-03,-Inf
25,-80.2,2015-04-04,-Inf
25,-80.2,2015-04-05,-Inf
25,-80.2,2015-04-06,-Inf
25,-80.2,2015-04-07,-Inf
25,-80.2,2015-04-08,-Inf
25,-80.2,2015-04-09,-Inf
25,-80.2,2015-04-10,-Inf
25,-80.2,2015-04-11,-Inf
25,-80.2,2015-04-12,-Inf
25,-80.2,2015-04-13,-Inf
25,-80.2,2015-04-14,-Inf
25,-80.2,2015-04-15,-Inf
25,-80.2,2015-04-16,-Inf
25,-80.2,2015-04-17,-Inf
25,-80.2,2015-04-18,-Inf
25,-80.2,2015-04-19,-Inf
25,-80.2,2015-04-20,-Inf
25,-80.2,2015-04-21,-Inf
25,-80.2,2015-04-22,-Inf
25,-80.2,2015-04-23,-Inf
25,-80.2,2015-04-24,-Inf
25,-80.2,2015-04-25,-Inf
25,-80.2,2015-04-26,-Inf
25,-80.2,2015-04-27,-Inf
25,-80.2,2015-04-28,-Inf
25,-80.2,2015-04-29,-Inf
25,-80.2,2015-04-30,-Inf
25,-80.1,2015-04-01,-Inf
25,-80.1,2015-04-02,-Inf
25,-80.1,2015-04-03,-Inf
25,-80.1,2015-04-04,-Inf
25,-80.1,2015-04-05,-Inf
25,-80.1,2015-04-06,-Inf
25,-80.1,2015-04-07,-Inf
25,-80.1,2015-04-08,-Inf
25,-80.1,2015-04-09,-Inf
25,-80.1,2015-04-10,-Inf
25,-80.1,2015-04-11,-Inf
25,-80.1,2015-04-12,-Inf
25,-80.1,2015-04-13,-Inf
25,-80.1,2015-04-14,-Inf
25,-80.1,2015-04-15,-Inf
25,-80.1,2015-04-16,-Inf
25,-80.1,2015-04-17,-Inf
25,-80.1,2015-04-18,-Inf
25,-80.1,2015-04-19,-Inf
25,-80.1,2015-04-20,-Inf
25,-80.1,2015-04-21,-Inf
25,-80.1,2015-04-22,-Inf
25,-80.1,2015-04-23,-Inf
25,-80.1,2015-04-24,-Inf
25,-80.1,2015-04-25,-Inf
25,-80.1,2015-04-26,-Inf
25,-80.1,2015-04-27,-Inf
25,-80.1,2015-04-28,-Inf
25,-80.1,2015-04-29,-Inf
25,-80.1,2015-04-30,-Inf
25,-80,2015-04-01,-Inf
25,-80,2015-04-02,-Inf
25,-80,2015-04-03,-Inf
25,-80,2015-04-04,-Inf
25,-80,2015-04-05,-Inf
25,-80,2015-04-06,-Inf
25,-80,2015-04-07,-Inf
25,-80,2015-04-08,-Inf
25,-80,2015-04-09,-Inf
25,-80,2015-04-10,-Inf
25,-80,2015-04-11,-Inf
25,-80,2015-04-12,-Inf
25,-80,2015-04-13,-Inf
25,-80,2015-04-14,-Inf
25,-80,2015-04-15,-Inf
25,-80,2015-04-16,-Inf
25,-80,2015-04-17,-Inf
25,-80,2015-04-18,-Inf
25,-80,2015-04-19,-Inf
25,-80,2015-04-20,-Inf
25,-80,2015-04-21,-Inf
25,-80,2015-04-22,-Inf
25,-80,2015-04-23,-Inf
25,-80,2015-04-24,-Inf
25,-80,2015-04-25,-Inf
25,-80,2015-04-26,-Inf
25,-80,2015-04-27,-Inf
25,-80,2015-04-28,-Inf
25,-80,2015-04-29,-Inf
25,-80,2015-04-30,-Inf
25,-79.9,2015-04-01,-Inf
25,-79.9,2015-04-02,-Inf
25,-79.9,2015-04-03,-Inf
25,-79.9,2015-04-04,-Inf
25,-79.9,2015-04-05,-Inf
25,-79.9,2015-04-06,-Inf
25,-79.9,2015-04-07,-Inf
25,-79.9,2015-04-08,-Inf
25,-79.9,2015-04-09,-Inf
25,-79.9,2015-04-10,-Inf
25,-79.9,2015-04-11,-Inf
25,-79.9,2015-04-12,-Inf
25,-79.9,2015-04-13,-Inf
25,-79.9,2015-04-14,-Inf
25,-79.9,2015-04-15,-Inf
25,-79.9,2015-04-16,-Inf
25,-79.9,2015-04-17,-Inf
25,-79.9,2015-04-18,-Inf
25,-79.9,2015-04-19,-Inf
25,-79.9,2015-04-20,-Inf
25,-79.9,2015-04-21,-Inf
25,-79.9,2015-04-22,-Inf
25,-79.9,2015-04-23,-Inf
25,-79.9,2015-04-24,-Inf
25,-79.9,2015-04-25,-Inf
25,-79.9,2015-04-26,-Inf
25,-79.9,2015-04-27,-Inf
25,-79.9,2015-04-28,-Inf
25,-79.9,2015-04-29,-Inf
25,-79.9,2015-04-30,-Inf
25,-79.8,2015-04-01,-Inf
25,-79.8,2015-04-02,-Inf
25,-79.8,2015-04-03,-Inf
25,-79.8,2015-04-04,-Inf
25,-79.8,2015-04-05,-Inf
25,-79.8,2015-04-06,-Inf
25,-79.8,2015-04-07,-Inf
25,-79.8,2015-04-08,-Inf
25,-79.8,2015-04-09,-Inf
25,-79.8,2015-04-10,-Inf
25,-79.8,2015-04-11,-Inf
25,-79.8,2015-04-12,-Inf
25,-79.8,2015-04-13,-Inf
25,-79.8,2015-04-14,-Inf
25,-79.8,2015-04-15,-Inf
25,-79.8,2015-04-16,-Inf
25,-79.8,2015-04-17,-Inf
25,-79.8,2015-04-18,-Inf
25,-79.8,2015-04-19,-Inf
25,-79.8,2015-04-20,-Inf
25,-79.8,2015-04-21,-Inf
25,-79.8,2015-04-22,-Inf
25,-79.8,2015-04-23,-Inf
25,-79.8,2015-04-24,-Inf
25,-79.8,2015-04-25,-Inf
25,-79.8,2015-04-26,-Inf
25,-79.8,2015-04-27,-Inf
25,-79.8,2015-04-28,-Inf
25,-79.8,2015-04-29,-Inf
25,-79.8,2015-04-30,-Inf
25,-79.7,2015-04-01,-Inf
25,-79.7,2015-04-02,-Inf
25,-79.7,2015-04-03,-Inf
25,-79.7,2015-04-04,-Inf
25,-79.7,2015-04-05,-Inf
25,-79.7,2015-04-06,-Inf
25,-79.7,2015-04-07,-Inf
25,-79.7,2015-04-08,-Inf
25,-79.7,2015-04-09,-Inf
25,-79.7,2015-04-10,-Inf
25,-79.7,2015-04-11,-Inf
25,-79.7,2015-04-12,-Inf
25,-79.7,2015-04-13,-Inf
25,-79.7,2015-04-14,-Inf
25,-79.7,2015-04-15,-Inf
25,-79.7,2015-04-16,-Inf
25,-79.7,2015-04-17,-Inf
25,-79.7,2015-04-18,-Inf
25,-79.7,2015-04-19,-Inf
25,-79.7,2015-04-20,-Inf
25,-79.7,2015-04-21,-Inf
25,-79.7,2015-04-22,-Inf
25,-79.7,2015-04-23,-Inf
25,-79.7,2015-04-24,-Inf
25,-79.7,2015-04-25,-Inf
25,-79.7,2015-04-26,-Inf
25,-79.7,2015-04-27,-Inf
25,-79.7,2015-04-28,-Inf
25,-79.7,2015-04-29,-Inf
25,-79.7,2015-04-30,-Inf
25,-79.6,2015-04-01,-Inf
25,-79.6,2015-04-02,-Inf
25,-79.6,2015-04-03,-Inf
25,-79.6,2015-04-04,-Inf
25,-79.6,2015-04-05,-Inf
25,-79.6,2015-04-06,-Inf
25,-79.6,2015-04-07,-Inf
25,-79.6,2015-04-08,-Inf
25,-79.6,2015-04-09,-Inf
25,-79.6,2015-04-10,-Inf
25,-79.6,2015-04-11,-Inf
25,-79.6,2015-04-12,-Inf
25,-79.6,2015-04-13,-Inf
25,-79.6,2015-04-14,-Inf
25,-79.6,2015-04-15,-Inf
25,-79.6,2015-04-16,-Inf
25,-79.6,2015-04-17,-Inf
25,-79.6,2015-04-18,-Inf
25,-79.6,2015-04-19,-Inf
25,-79.6,2015-04-20,-Inf
25,-79.6,2015-04-21,-Inf
25,-79.6,2015-04-22,-Inf
25,-79.6,2015-04-23,-Inf
25,-79.6,2015-04-24,-Inf
25,-79.6,2015-04-25,-Inf
