"lat","lon","time","total"
25,-81.6,2015-01-17,-Inf
25,-81.6,2015-01-18,-Inf
25,-81.6,2015-01-19,-Inf
25,-81.6,2015-01-20,-Inf
25,-81.6,2015-01-21,-Inf
25,-81.6,2015-01-22,-Inf
25,-81.6,2015-01-23,-Inf
25,-81.6,2015-01-24,-Inf
25,-81.6,2015-01-25,-Inf
25,-81.6,2015-01-26,-Inf
25,-81.6,2015-01-27,-Inf
25,-81.6,2015-01-28,-Inf
25,-81.6,2015-01-29,-Inf
25,-81.6,2015-01-30,-Inf
25,-81.6,2015-01-31,-Inf
25,-81.5,2015-01-01,-Inf
25,-81.5,2015-01-02,-Inf
25,-81.5,2015-01-03,-Inf
25,-81.5,2015-01-04,-Inf
25,-81.5,2015-01-05,-Inf
25,-81.5,2015-01-06,-Inf
25,-81.5,2015-01-07,-Inf
25,-81.5,2015-01-08,-Inf
25,-81.5,2015-01-09,-Inf
25,-81.5,2015-01-10,-Inf
25,-81.5,2015-01-11,-Inf
25,-81.5,2015-01-12,-Inf
25,-81.5,2015-01-13,-Inf
25,-81.5,2015-01-14,-Inf
25,-81.5,2015-01-15,-Inf
25,-81.5,2015-01-16,-Inf
25,-81.5,2015-01-17,-Inf
25,-81.5,2015-01-18,-Inf
25,-81.5,2015-01-19,-Inf
25,-81.5,2015-01-20,-Inf
25,-81.5,2015-01-21,-Inf
25,-81.5,2015-01-22,-Inf
25,-81.5,2015-01-23,-Inf
25,-81.5,2015-01-24,-Inf
25,-81.5,2015-01-25,-Inf
25,-81.5,2015-01-26,-Inf
25,-81.5,2015-01-27,-Inf
25,-81.5,2015-01-28,-Inf
25,-81.5,2015-01-29,-Inf
25,-81.5,2015-01-30,-Inf
25,-81.5,2015-01-31,-Inf
25,-81.4,2015-01-01,-Inf
25,-81.4,2015-01-02,-Inf
25,-81.4,2015-01-03,-Inf
25,-81.4,2015-01-04,-Inf
25,-81.4,2015-01-05,-Inf
25,-81.4,2015-01-06,-Inf
25,-81.4,2015-01-07,-Inf
25,-81.4,2015-01-08,-Inf
25,-81.4,2015-01-09,-Inf
25,-81.4,2015-01-10,-Inf
25,-81.4,2015-01-11,-Inf
25,-81.4,2015-01-12,-Inf
25,-81.4,2015-01-13,-Inf
25,-81.4,2015-01-14,-Inf
25,-81.4,2015-01-15,-Inf
25,-81.4,2015-01-16,-Inf
25,-81.4,2015-01-17,-Inf
25,-81.4,2015-01-18,-Inf
25,-81.4,2015-01-19,-Inf
25,-81.4,2015-01-20,-Inf
25,-81.4,2015-01-21,-Inf
25,-81.4,2015-01-22,-Inf
25,-81.4,2015-01-23,-Inf
25,-81.4,2015-01-24,-Inf
25,-81.4,2015-01-25,-Inf
25,-81.4,2015-01-26,-Inf
25,-81.4,2015-01-27,-Inf
25,-81.4,2015-01-28,-Inf
25,-81.4,2015-01-29,-Inf
25,-81.4,2015-01-30,-Inf
25,-81.4,2015-01-31,-Inf
25,-81.3,2015-01-01,-Inf
25,-81.3,2015-01-02,-Inf
25,-81.3,2015-01-03,-Inf
25,-81.3,2015-01-04,-Inf
25,-81.3,2015-01-05,-Inf
25,-81.3,2015-01-06,-Inf
25,-81.3,2015-01-07,-Inf
25,-81.3,2015-01-08,-Inf
25,-81.3,2015-01-09,-Inf
25,-81.3,2015-01-10,-Inf
25,-81.3,2015-01-11,-Inf
25,-81.3,2015-01-12,-Inf
25,-81.3,2015-01-13,-Inf
25,-81.3,2015-01-14,-Inf
25,-81.3,2015-01-15,-Inf
25,-81.3,2015-01-16,-Inf
25,-81.3,2015-01-17,-Inf
25,-81.3,2015-01-18,-Inf
25,-81.3,2015-01-19,-Inf
25,-81.3,2015-01-20,-Inf
25,-81.3,2015-01-21,-Inf
25,-81.3,2015-01-22,-Inf
25,-81.3,2015-01-23,-Inf
25,-81.3,2015-01-24,-Inf
25,-81.3,2015-01-25,-Inf
25,-81.3,2015-01-26,-Inf
25,-81.3,2015-01-27,-Inf
25,-81.3,2015-01-28,-Inf
25,-81.3,2015-01-29,-Inf
25,-81.3,2015-01-30,-Inf
25,-81.3,2015-01-31,-Inf
25,-81.2,2015-01-01,-Inf
25,-81.2,2015-01-02,-Inf
25,-81.2,2015-01-03,-Inf
25,-81.2,2015-01-04,-Inf
25,-81.2,2015-01-05,-Inf
25,-81.2,2015-01-06,-Inf
25,-81.2,2015-01-07,-Inf
25,-81.2,2015-01-08,-Inf
25,-81.2,2015-01-09,-Inf
25,-81.2,2015-01-10,-Inf
25,-81.2,2015-01-11,-Inf
25,-81.2,2015-01-12,-Inf
25,-81.2,2015-01-13,-Inf
25,-81.2,2015-01-14,-Inf
25,-81.2,2015-01-15,-Inf
25,-81.2,2015-01-16,-Inf
25,-81.2,2015-01-17,-Inf
25,-81.2,2015-01-18,-Inf
25,-81.2,2015-01-19,-Inf
25,-81.2,2015-01-20,-Inf
25,-81.2,2015-01-21,-Inf
25,-81.2,2015-01-22,-Inf
25,-81.2,2015-01-23,-Inf
25,-81.2,2015-01-24,-Inf
25,-81.2,2015-01-25,-Inf
25,-81.2,2015-01-26,-Inf
25,-81.2,2015-01-27,-Inf
25,-81.2,2015-01-28,-Inf
25,-81.2,2015-01-29,-Inf
25,-81.2,2015-01-30,-Inf
25,-81.2,2015-01-31,-Inf
25,-81.1,2015-01-01,-Inf
25,-81.1,2015-01-02,-Inf
25,-81.1,2015-01-03,-Inf
25,-81.1,2015-01-04,-Inf
25,-81.1,2015-01-05,-Inf
25,-81.1,2015-01-06,-Inf
25,-81.1,2015-01-07,-Inf
25,-81.1,2015-01-08,-Inf
25,-81.1,2015-01-09,-Inf
25,-81.1,2015-01-10,-Inf
25,-81.1,2015-01-11,-Inf
25,-81.1,2015-01-12,-Inf
25,-81.1,2015-01-13,-Inf
25,-81.1,2015-01-14,-Inf
25,-81.1,2015-01-15,-Inf
25,-81.1,2015-01-16,-Inf
25,-81.1,2015-01-17,-Inf
25,-81.1,2015-01-18,-Inf
25,-81.1,2015-01-19,-Inf
25,-81.1,2015-01-20,-Inf
25,-81.1,2015-01-21,-Inf
25,-81.1,2015-01-22,-Inf
25,-81.1,2015-01-23,-Inf
25,-81.1,2015-01-24,-Inf
25,-81.1,2015-01-25,-Inf
25,-81.1,2015-01-26,-Inf
25,-81.1,2015-01-27,-Inf
25,-81.1,2015-01-28,-Inf
25,-81.1,2015-01-29,-Inf
25,-81.1,2015-01-30,-Inf
25,-81.1,2015-01-31,-Inf
25,-81,2015-01-01,-Inf
25,-81,2015-01-02,-Inf
25,-81,2015-01-03,-Inf
25,-81,2015-01-04,-Inf
25,-81,2015-01-05,-Inf
25,-81,2015-01-06,-Inf
25,-81,2015-01-07,-Inf
25,-81,2015-01-08,-Inf
25,-81,2015-01-09,-Inf
25,-81,2015-01-10,-Inf
25,-81,2015-01-11,-Inf
25,-81,2015-01-12,-Inf
25,-81,2015-01-13,-Inf
25,-81,2015-01-14,-Inf
25,-81,2015-01-15,-Inf
25,-81,2015-01-16,-Inf
25,-81,2015-01-17,-Inf
25,-81,2015-01-18,-Inf
25,-81,2015-01-19,-Inf
25,-81,2015-01-20,-Inf
25,-81,2015-01-21,-Inf
25,-81,2015-01-22,-Inf
25,-81,2015-01-23,-Inf
25,-81,2015-01-24,-Inf
25,-81,2015-01-25,-Inf
25,-81,2015-01-26,-Inf
25,-81,2015-01-27,-Inf
25,-81,2015-01-28,-Inf
25,-81,2015-01-29,-Inf
25,-81,2015-01-30,-Inf
25,-81,2015-01-31,-Inf
25,-80.9,2015-01-01,-Inf
25,-80.9,2015-01-02,-Inf
25,-80.9,2015-01-03,-Inf
25,-80.9,2015-01-04,-Inf
25,-80.9,2015-01-05,-Inf
25,-80.9,2015-01-06,-Inf
25,-80.9,2015-01-07,-Inf
25,-80.9,2015-01-08,-Inf
25,-80.9,2015-01-09,-Inf
25,-80.9,2015-01-10,-Inf
25,-80.9,2015-01-11,-Inf
25,-80.9,2015-01-12,-Inf
25,-80.9,2015-01-13,-Inf
25,-80.9,2015-01-14,-Inf
25,-80.9,2015-01-15,-Inf
25,-80.9,2015-01-16,-Inf
25,-80.9,2015-01-17,-Inf
25,-80.9,2015-01-18,-Inf
25,-80.9,2015-01-19,-Inf
25,-80.9,2015-01-20,-Inf
25,-80.9,2015-01-21,-Inf
25,-80.9,2015-01-22,-Inf
25,-80.9,2015-01-23,-Inf
25,-80.9,2015-01-24,-Inf
25,-80.9,2015-01-25,-Inf
25,-80.9,2015-01-26,-Inf
25,-80.9,2015-01-27,-Inf
25,-80.9,2015-01-28,-Inf
25,-80.9,2015-01-29,-Inf
25,-80.9,2015-01-30,-Inf
25,-80.9,2015-01-31,-Inf
25,-80.8,2015-01-01,-Inf
25,-80.8,2015-01-02,-Inf
25,-80.8,2015-01-03,-Inf
25,-80.8,2015-01-04,-Inf
25,-80.8,2015-01-05,-Inf
25,-80.8,2015-01-06,-Inf
25,-80.8,2015-01-07,-Inf
25,-80.8,2015-01-08,-Inf
25,-80.8,2015-01-09,-Inf
25,-80.8,2015-01-10,-Inf
25,-80.8,2015-01-11,-Inf
25,-80.8,2015-01-12,-Inf
25,-80.8,2015-01-13,-Inf
25,-80.8,2015-01-14,-Inf
25,-80.8,2015-01-15,-Inf
25,-80.8,2015-01-16,-Inf
25,-80.8,2015-01-17,-Inf
25,-80.8,2015-01-18,-Inf
25,-80.8,2015-01-19,-Inf
25,-80.8,2015-01-20,-Inf
25,-80.8,2015-01-21,-Inf
25,-80.8,2015-01-22,-Inf
25,-80.8,2015-01-23,-Inf
25,-80.8,2015-01-24,-Inf
25,-80.8,2015-01-25,-Inf
25,-80.8,2015-01-26,-Inf
25,-80.8,2015-01-27,-Inf
25,-80.8,2015-01-28,-Inf
25,-80.8,2015-01-29,-Inf
25,-80.8,2015-01-30,-Inf
25,-80.8,2015-01-31,-Inf
25,-80.7,2015-01-01,-Inf
25,-80.7,2015-01-02,-Inf
25,-80.7,2015-01-03,-Inf
25,-80.7,2015-01-04,-Inf
25,-80.7,2015-01-05,-Inf
25,-80.7,2015-01-06,-Inf
25,-80.7,2015-01-07,-Inf
25,-80.7,2015-01-08,-Inf
25,-80.7,2015-01-09,-Inf
25,-80.7,2015-01-10,-Inf
25,-80.7,2015-01-11,-Inf
25,-80.7,2015-01-12,-Inf
25,-80.7,2015-01-13,-Inf
25,-80.7,2015-01-14,-Inf
25,-80.7,2015-01-15,-Inf
25,-80.7,2015-01-16,-Inf
25,-80.7,2015-01-17,-Inf
25,-80.7,2015-01-18,-Inf
25,-80.7,2015-01-19,-Inf
25,-80.7,2015-01-20,-Inf
25,-80.7,2015-01-21,-Inf
25,-80.7,2015-01-22,-Inf
25,-80.7,2015-01-23,-Inf
25,-80.7,2015-01-24,-Inf
25,-80.7,2015-01-25,-Inf
25,-80.7,2015-01-26,-Inf
25,-80.7,2015-01-27,-Inf
25,-80.7,2015-01-28,-Inf
25,-80.7,2015-01-29,-Inf
25,-80.7,2015-01-30,-Inf
25,-80.7,2015-01-31,-Inf
25,-80.6,2015-01-01,-Inf
25,-80.6,2015-01-02,-Inf
25,-80.6,2015-01-03,-Inf
25,-80.6,2015-01-04,-Inf
25,-80.6,2015-01-05,-Inf
25,-80.6,2015-01-06,-Inf
25,-80.6,2015-01-07,-Inf
25,-80.6,2015-01-08,-Inf
25,-80.6,2015-01-09,-Inf
25,-80.6,2015-01-10,-Inf
25,-80.6,2015-01-11,-Inf
25,-80.6,2015-01-12,-Inf
25,-80.6,2015-01-13,-Inf
25,-80.6,2015-01-14,-Inf
25,-80.6,2015-01-15,-Inf
25,-80.6,2015-01-16,-Inf
25,-80.6,2015-01-17,-Inf
25,-80.6,2015-01-18,-Inf
25,-80.6,2015-01-19,-Inf
25,-80.6,2015-01-20,-Inf
25,-80.6,2015-01-21,-Inf
25,-80.6,2015-01-22,-Inf
25,-80.6,2015-01-23,-Inf
25,-80.6,2015-01-24,-Inf
25,-80.6,2015-01-25,-Inf
25,-80.6,2015-01-26,-Inf
25,-80.6,2015-01-27,-Inf
25,-80.6,2015-01-28,-Inf
25,-80.6,2015-01-29,-Inf
25,-80.6,2015-01-30,-Inf
25,-80.6,2015-01-31,-Inf
25,-80.5,2015-01-01,-Inf
25,-80.5,2015-01-02,-Inf
25,-80.5,2015-01-03,-Inf
25,-80.5,2015-01-04,-Inf
25,-80.5,2015-01-05,-Inf
25,-80.5,2015-01-06,-Inf
25,-80.5,2015-01-07,-Inf
25,-80.5,2015-01-08,-Inf
25,-80.5,2015-01-09,-Inf
25,-80.5,2015-01-10,-Inf
25,-80.5,2015-01-11,-Inf
25,-80.5,2015-01-12,-Inf
25,-80.5,2015-01-13,-Inf
25,-80.5,2015-01-14,-Inf
25,-80.5,2015-01-15,-Inf
25,-80.5,2015-01-16,-Inf
25,-80.5,2015-01-17,-Inf
25,-80.5,2015-01-18,-Inf
25,-80.5,2015-01-19,-Inf
25,-80.5,2015-01-20,-Inf
25,-80.5,2015-01-21,-Inf
25,-80.5,2015-01-22,-Inf
25,-80.5,2015-01-23,-Inf
25,-80.5,2015-01-24,-Inf
25,-80.5,2015-01-25,-Inf
25,-80.5,2015-01-26,-Inf
25,-80.5,2015-01-27,-Inf
25,-80.5,2015-01-28,-Inf
25,-80.5,2015-01-29,-Inf
25,-80.5,2015-01-30,-Inf
25,-80.5,2015-01-31,-Inf
25,-80.4,2015-01-01,-Inf
25,-80.4,2015-01-02,-Inf
25,-80.4,2015-01-03,-Inf
25,-80.4,2015-01-04,-Inf
25,-80.4,2015-01-05,-Inf
25,-80.4,2015-01-06,-Inf
25,-80.4,2015-01-07,-Inf
25,-80.4,2015-01-08,-Inf
25,-80.4,2015-01-09,-Inf
25,-80.4,2015-01-10,-Inf
25,-80.4,2015-01-11,-Inf
25,-80.4,2015-01-12,-Inf
25,-80.4,2015-01-13,-Inf
25,-80.4,2015-01-14,-Inf
25,-80.4,2015-01-15,-Inf
25,-80.4,2015-01-16,-Inf
25,-80.4,2015-01-17,-Inf
25,-80.4,2015-01-18,-Inf
25,-80.4,2015-01-19,-Inf
25,-80.4,2015-01-20,-Inf
25,-80.4,2015-01-21,-Inf
25,-80.4,2015-01-22,-Inf
25,-80.4,2015-01-23,-Inf
25,-80.4,2015-01-24,-Inf
25,-80.4,2015-01-25,-Inf
25,-80.4,2015-01-26,-Inf
25,-80.4,2015-01-27,-Inf
25,-80.4,2015-01-28,-Inf
25,-80.4,2015-01-29,-Inf
25,-80.4,2015-01-30,-Inf
25,-80.4,2015-01-31,-Inf
25,-80.3,2015-01-01,-Inf
25,-80.3,2015-01-02,-Inf
25,-80.3,2015-01-03,-Inf
25,-80.3,2015-01-04,-Inf
25,-80.3,2015-01-05,-Inf
25,-80.3,2015-01-06,-Inf
25,-80.3,2015-01-07,-Inf
25,-80.3,2015-01-08,-Inf
25,-80.3,2015-01-09,-Inf
25,-80.3,2015-01-10,-Inf
25,-80.3,2015-01-11,-Inf
25,-80.3,2015-01-12,-Inf
25,-80.3,2015-01-13,-Inf
25,-80.3,2015-01-14,-Inf
25,-80.3,2015-01-15,-Inf
25,-80.3,2015-01-16,-Inf
25,-80.3,2015-01-17,-Inf
25,-80.3,2015-01-18,-Inf
25,-80.3,2015-01-19,-Inf
25,-80.3,2015-01-20,-Inf
25,-80.3,2015-01-21,-Inf
25,-80.3,2015-01-22,-Inf
25,-80.3,2015-01-23,-Inf
25,-80.3,2015-01-24,-Inf
25,-80.3,2015-01-25,-Inf
25,-80.3,2015-01-26,-Inf
25,-80.3,2015-01-27,-Inf
25,-80.3,2015-01-28,-Inf
25,-80.3,2015-01-29,-Inf
25,-80.3,2015-01-30,-Inf
25,-80.3,2015-01-31,-Inf
25,-80.2,2015-01-01,-Inf
25,-80.2,2015-01-02,-Inf
25,-80.2,2015-01-03,-Inf
25,-80.2,2015-01-04,-Inf
25,-80.2,2015-01-05,-Inf
25,-80.2,2015-01-06,-Inf
25,-80.2,2015-01-07,-Inf
25,-80.2,2015-01-08,-Inf
25,-80.2,2015-01-09,-Inf
25,-80.2,2015-01-10,-Inf
25,-80.2,2015-01-11,-Inf
25,-80.2,2015-01-12,-Inf
25,-80.2,2015-01-13,-Inf
25,-80.2,2015-01-14,-Inf
25,-80.2,2015-01-15,-Inf
25,-80.2,2015-01-16,-Inf
25,-80.2,2015-01-17,-Inf
25,-80.2,2015-01-18,-Inf
25,-80.2,2015-01-19,-Inf
25,-80.2,2015-01-20,-Inf
25,-80.2,2015-01-21,-Inf
25,-80.2,2015-01-22,-Inf
25,-80.2,2015-01-23,-Inf
25,-80.2,2015-01-24,-Inf
25,-80.2,2015-01-25,-Inf
25,-80.2,2015-01-26,-Inf
25,-80.2,2015-01-27,-Inf
25,-80.2,2015-01-28,-Inf
25,-80.2,2015-01-29,-Inf
25,-80.2,2015-01-30,-Inf
25,-80.2,2015-01-31,-Inf
25,-80.1,2015-01-01,-Inf
25,-80.1,2015-01-02,-Inf
25,-80.1,2015-01-03,-Inf
25,-80.1,2015-01-04,-Inf
25,-80.1,2015-01-05,-Inf
25,-80.1,2015-01-06,-Inf
25,-80.1,2015-01-07,-Inf
25,-80.1,2015-01-08,-Inf
25,-80.1,2015-01-09,-Inf
25,-80.1,2015-01-10,-Inf
25,-80.1,2015-01-11,-Inf
25,-80.1,2015-01-12,-Inf
25,-80.1,2015-01-13,-Inf
25,-80.1,2015-01-14,-Inf
25,-80.1,2015-01-15,-Inf
25,-80.1,2015-01-16,-Inf
25,-80.1,2015-01-17,-Inf
25,-80.1,2015-01-18,-Inf
25,-80.1,2015-01-19,-Inf
25,-80.1,2015-01-20,-Inf
25,-80.1,2015-01-21,-Inf
25,-80.1,2015-01-22,-Inf
25,-80.1,2015-01-23,-Inf
25,-80.1,2015-01-24,-Inf
25,-80.1,2015-01-25,-Inf
25,-80.1,2015-01-26,-Inf
25,-80.1,2015-01-27,-Inf
25,-80.1,2015-01-28,-Inf
25,-80.1,2015-01-29,-Inf
25,-80.1,2015-01-30,-Inf
25,-80.1,2015-01-31,-Inf
25,-80,2015-01-01,-Inf
25,-80,2015-01-02,-Inf
25,-80,2015-01-03,-Inf
25,-80,2015-01-04,-Inf
25,-80,2015-01-05,-Inf
25,-80,2015-01-06,-Inf
25,-80,2015-01-07,-Inf
25,-80,2015-01-08,-Inf
25,-80,2015-01-09,-Inf
25,-80,2015-01-10,-Inf
25,-80,2015-01-11,-Inf
25,-80,2015-01-12,-Inf
25,-80,2015-01-13,-Inf
25,-80,2015-01-14,-Inf
25,-80,2015-01-15,-Inf
25,-80,2015-01-16,-Inf
25,-80,2015-01-17,-Inf
25,-80,2015-01-18,-Inf
25,-80,2015-01-19,-Inf
25,-80,2015-01-20,-Inf
25,-80,2015-01-21,-Inf
25,-80,2015-01-22,-Inf
25,-80,2015-01-23,-Inf
25,-80,2015-01-24,-Inf
25,-80,2015-01-25,-Inf
25,-80,2015-01-26,-Inf
25,-80,2015-01-27,-Inf
25,-80,2015-01-28,-Inf
25,-80,2015-01-29,-Inf
25,-80,2015-01-30,-Inf
25,-80,2015-01-31,-Inf
25,-79.9,2015-01-01,-Inf
25,-79.9,2015-01-02,-Inf
25,-79.9,2015-01-03,-Inf
25,-79.9,2015-01-04,-Inf
25,-79.9,2015-01-05,-Inf
25,-79.9,2015-01-06,-Inf
25,-79.9,2015-01-07,-Inf
25,-79.9,2015-01-08,-Inf
25,-79.9,2015-01-09,-Inf
25,-79.9,2015-01-10,-Inf
25,-79.9,2015-01-11,-Inf
25,-79.9,2015-01-12,-Inf
25,-79.9,2015-01-13,-Inf
25,-79.9,2015-01-14,-Inf
25,-79.9,2015-01-15,-Inf
25,-79.9,2015-01-16,-Inf
25,-79.9,2015-01-17,-Inf
25,-79.9,2015-01-18,-Inf
25,-79.9,2015-01-19,-Inf
25,-79.9,2015-01-20,-Inf
25,-79.9,2015-01-21,-Inf
25,-79.9,2015-01-22,-Inf
25,-79.9,2015-01-23,-Inf
25,-79.9,2015-01-24,-Inf
25,-79.9,2015-01-25,-Inf
25,-79.9,2015-01-26,-Inf
25,-79.9,2015-01-27,-Inf
25,-79.9,2015-01-28,-Inf
25,-79.9,2015-01-29,-Inf
25,-79.9,2015-01-30,-Inf
25,-79.9,2015-01-31,-Inf
25,-79.8,2015-01-01,-Inf
25,-79.8,2015-01-02,-Inf
25,-79.8,2015-01-03,-Inf
25,-79.8,2015-01-04,-Inf
25,-79.8,2015-01-05,-Inf
25,-79.8,2015-01-06,-Inf
25,-79.8,2015-01-07,-Inf
25,-79.8,2015-01-08,-Inf
25,-79.8,2015-01-09,-Inf
25,-79.8,2015-01-10,-Inf
25,-79.8,2015-01-11,-Inf
25,-79.8,2015-01-12,-Inf
25,-79.8,2015-01-13,-Inf
25,-79.8,2015-01-14,-Inf
25,-79.8,2015-01-15,-Inf
25,-79.8,2015-01-16,-Inf
25,-79.8,2015-01-17,-Inf
25,-79.8,2015-01-18,-Inf
25,-79.8,2015-01-19,-Inf
25,-79.8,2015-01-20,-Inf
25,-79.8,2015-01-21,-Inf
25,-79.8,2015-01-22,-Inf
25,-79.8,2015-01-23,-Inf
25,-79.8,2015-01-24,-Inf
25,-79.8,2015-01-25,-Inf
25,-79.8,2015-01-26,-Inf
25,-79.8,2015-01-27,-Inf
25,-79.8,2015-01-28,-Inf
25,-79.8,2015-01-29,-Inf
25,-79.8,2015-01-30,-Inf
25,-79.8,2015-01-31,-Inf
25,-79.7,2015-01-01,-Inf
25,-79.7,2015-01-02,-Inf
25,-79.7,2015-01-03,-Inf
25,-79.7,2015-01-04,-Inf
25,-79.7,2015-01-05,-Inf
25,-79.7,2015-01-06,-Inf
25,-79.7,2015-01-07,-Inf
25,-79.7,2015-01-08,-Inf
25,-79.7,2015-01-09,-Inf
25,-79.7,2015-01-10,-Inf
25,-79.7,2015-01-11,-Inf
25,-79.7,2015-01-12,-Inf
25,-79.7,2015-01-13,-Inf
25,-79.7,2015-01-14,-Inf
25,-79.7,2015-01-15,-Inf
25,-79.7,2015-01-16,-Inf
25,-79.7,2015-01-17,-Inf
25,-79.7,2015-01-18,-Inf
25,-79.7,2015-01-19,-Inf
25,-79.7,2015-01-20,-Inf
25,-79.7,2015-01-21,-Inf
25,-79.7,2015-01-22,-Inf
25,-79.7,2015-01-23,-Inf
25,-79.7,2015-01-24,-Inf
25,-79.7,2015-01-25,-Inf
25,-79.7,2015-01-26,-Inf
25,-79.7,2015-01-27,-Inf
25,-79.7,2015-01-28,-Inf
25,-79.7,2015-01-29,-Inf
25,-79.7,2015-01-30,-Inf
25,-79.7,2015-01-31,-Inf
25,-79.6,2015-01-01,-Inf
