"lat","lon","time","total"
25,-81.2,2015-06-18,-Inf
25,-81.2,2015-06-19,-Inf
25,-81.2,2015-06-20,-Inf
25,-81.2,2015-06-21,-Inf
25,-81.2,2015-06-22,-Inf
25,-81.2,2015-06-23,-Inf
25,-81.2,2015-06-24,-Inf
25,-81.2,2015-06-25,-Inf
25,-81.2,2015-06-26,-Inf
25,-81.2,2015-06-27,-Inf
25,-81.2,2015-06-28,-Inf
25,-81.2,2015-06-29,-Inf
25,-81.2,2015-06-30,-Inf
25,-81.1,2015-06-01,-Inf
25,-81.1,2015-06-02,-Inf
25,-81.1,2015-06-03,-Inf
25,-81.1,2015-06-04,-Inf
25,-81.1,2015-06-05,-Inf
25,-81.1,2015-06-06,-Inf
25,-81.1,2015-06-07,-Inf
25,-81.1,2015-06-08,-Inf
25,-81.1,2015-06-09,-Inf
25,-81.1,2015-06-10,-Inf
25,-81.1,2015-06-11,-Inf
25,-81.1,2015-06-12,-Inf
25,-81.1,2015-06-13,-Inf
25,-81.1,2015-06-14,-Inf
25,-81.1,2015-06-15,-Inf
25,-81.1,2015-06-16,-Inf
25,-81.1,2015-06-17,-Inf
25,-81.1,2015-06-18,-Inf
25,-81.1,2015-06-19,-Inf
25,-81.1,2015-06-20,-Inf
25,-81.1,2015-06-21,-Inf
25,-81.1,2015-06-22,-Inf
25,-81.1,2015-06-23,-Inf
25,-81.1,2015-06-24,-Inf
25,-81.1,2015-06-25,-Inf
25,-81.1,2015-06-26,-Inf
25,-81.1,2015-06-27,-Inf
25,-81.1,2015-06-28,-Inf
25,-81.1,2015-06-29,-Inf
25,-81.1,2015-06-30,-Inf
25,-81,2015-06-01,-Inf
25,-81,2015-06-02,-Inf
25,-81,2015-06-03,-Inf
25,-81,2015-06-04,-Inf
25,-81,2015-06-05,-Inf
25,-81,2015-06-06,-Inf
25,-81,2015-06-07,-Inf
25,-81,2015-06-08,-Inf
25,-81,2015-06-09,-Inf
25,-81,2015-06-10,-Inf
25,-81,2015-06-11,-Inf
25,-81,2015-06-12,-Inf
25,-81,2015-06-13,-Inf
25,-81,2015-06-14,-Inf
25,-81,2015-06-15,-Inf
25,-81,2015-06-16,-Inf
25,-81,2015-06-17,-Inf
25,-81,2015-06-18,-Inf
25,-81,2015-06-19,-Inf
25,-81,2015-06-20,-Inf
25,-81,2015-06-21,-Inf
25,-81,2015-06-22,-Inf
25,-81,2015-06-23,-Inf
25,-81,2015-06-24,-Inf
25,-81,2015-06-25,-Inf
25,-81,2015-06-26,-Inf
25,-81,2015-06-27,-Inf
25,-81,2015-06-28,-Inf
25,-81,2015-06-29,-Inf
25,-81,2015-06-30,-Inf
25,-80.9,2015-06-01,-Inf
25,-80.9,2015-06-02,-Inf
25,-80.9,2015-06-03,-Inf
25,-80.9,2015-06-04,-Inf
25,-80.9,2015-06-05,-Inf
25,-80.9,2015-06-06,-Inf
25,-80.9,2015-06-07,-Inf
25,-80.9,2015-06-08,-Inf
25,-80.9,2015-06-09,-Inf
25,-80.9,2015-06-10,-Inf
25,-80.9,2015-06-11,-Inf
25,-80.9,2015-06-12,-Inf
25,-80.9,2015-06-13,-Inf
25,-80.9,2015-06-14,-Inf
25,-80.9,2015-06-15,-Inf
25,-80.9,2015-06-16,-Inf
25,-80.9,2015-06-17,-Inf
25,-80.9,2015-06-18,-Inf
25,-80.9,2015-06-19,-Inf
25,-80.9,2015-06-20,-Inf
25,-80.9,2015-06-21,-Inf
25,-80.9,2015-06-22,-Inf
25,-80.9,2015-06-23,-Inf
25,-80.9,2015-06-24,-Inf
25,-80.9,2015-06-25,-Inf
25,-80.9,2015-06-26,-Inf
25,-80.9,2015-06-27,-Inf
25,-80.9,2015-06-28,-Inf
25,-80.9,2015-06-29,-Inf
25,-80.9,2015-06-30,-Inf
25,-80.8,2015-06-01,-Inf
25,-80.8,2015-06-02,-Inf
25,-80.8,2015-06-03,-Inf
25,-80.8,2015-06-04,-Inf
25,-80.8,2015-06-05,-Inf
25,-80.8,2015-06-06,-Inf
25,-80.8,2015-06-07,-Inf
25,-80.8,2015-06-08,-Inf
25,-80.8,2015-06-09,-Inf
25,-80.8,2015-06-10,-Inf
25,-80.8,2015-06-11,-Inf
25,-80.8,2015-06-12,-Inf
25,-80.8,2015-06-13,-Inf
25,-80.8,2015-06-14,-Inf
25,-80.8,2015-06-15,-Inf
25,-80.8,2015-06-16,-Inf
25,-80.8,2015-06-17,-Inf
25,-80.8,2015-06-18,-Inf
25,-80.8,2015-06-19,-Inf
25,-80.8,2015-06-20,-Inf
25,-80.8,2015-06-21,-Inf
25,-80.8,2015-06-22,-Inf
25,-80.8,2015-06-23,-Inf
25,-80.8,2015-06-24,-Inf
25,-80.8,2015-06-25,-Inf
25,-80.8,2015-06-26,-Inf
25,-80.8,2015-06-27,-Inf
25,-80.8,2015-06-28,-Inf
25,-80.8,2015-06-29,-Inf
25,-80.8,2015-06-30,-Inf
25,-80.7,2015-06-01,-Inf
25,-80.7,2015-06-02,-Inf
25,-80.7,2015-06-03,-Inf
25,-80.7,2015-06-04,-Inf
25,-80.7,2015-06-05,-Inf
25,-80.7,2015-06-06,-Inf
25,-80.7,2015-06-07,-Inf
25,-80.7,2015-06-08,-Inf
25,-80.7,2015-06-09,-Inf
25,-80.7,2015-06-10,-Inf
25,-80.7,2015-06-11,-Inf
25,-80.7,2015-06-12,-Inf
25,-80.7,2015-06-13,-Inf
25,-80.7,2015-06-14,-Inf
25,-80.7,2015-06-15,-Inf
25,-80.7,2015-06-16,-Inf
25,-80.7,2015-06-17,-Inf
25,-80.7,2015-06-18,-Inf
25,-80.7,2015-06-19,-Inf
25,-80.7,2015-06-20,-Inf
25,-80.7,2015-06-21,-Inf
25,-80.7,2015-06-22,-Inf
25,-80.7,2015-06-23,-Inf
25,-80.7,2015-06-24,-Inf
25,-80.7,2015-06-25,-Inf
25,-80.7,2015-06-26,-Inf
25,-80.7,2015-06-27,-Inf
25,-80.7,2015-06-28,-Inf
25,-80.7,2015-06-29,-Inf
25,-80.7,2015-06-30,-Inf
25,-80.6,2015-06-01,-Inf
25,-80.6,2015-06-02,-Inf
25,-80.6,2015-06-03,-Inf
25,-80.6,2015-06-04,-Inf
25,-80.6,2015-06-05,-Inf
25,-80.6,2015-06-06,-Inf
25,-80.6,2015-06-07,-Inf
25,-80.6,2015-06-08,-Inf
25,-80.6,2015-06-09,-Inf
25,-80.6,2015-06-10,-Inf
25,-80.6,2015-06-11,-Inf
25,-80.6,2015-06-12,-Inf
25,-80.6,2015-06-13,-Inf
25,-80.6,2015-06-14,-Inf
25,-80.6,2015-06-15,-Inf
25,-80.6,2015-06-16,-Inf
25,-80.6,2015-06-17,-Inf
25,-80.6,2015-06-18,-Inf
25,-80.6,2015-06-19,-Inf
25,-80.6,2015-06-20,-Inf
25,-80.6,2015-06-21,-Inf
25,-80.6,2015-06-22,-Inf
25,-80.6,2015-06-23,-Inf
25,-80.6,2015-06-24,-Inf
25,-80.6,2015-06-25,-Inf
25,-80.6,2015-06-26,-Inf
25,-80.6,2015-06-27,-Inf
25,-80.6,2015-06-28,-Inf
25,-80.6,2015-06-29,-Inf
25,-80.6,2015-06-30,-Inf
25,-80.5,2015-06-01,-Inf
25,-80.5,2015-06-02,-Inf
25,-80.5,2015-06-03,-Inf
25,-80.5,2015-06-04,-Inf
25,-80.5,2015-06-05,-Inf
25,-80.5,2015-06-06,-Inf
25,-80.5,2015-06-07,-Inf
25,-80.5,2015-06-08,-Inf
25,-80.5,2015-06-09,-Inf
25,-80.5,2015-06-10,-Inf
25,-80.5,2015-06-11,-Inf
25,-80.5,2015-06-12,-Inf
25,-80.5,2015-06-13,-Inf
25,-80.5,2015-06-14,-Inf
25,-80.5,2015-06-15,-Inf
25,-80.5,2015-06-16,-Inf
25,-80.5,2015-06-17,-Inf
25,-80.5,2015-06-18,-Inf
25,-80.5,2015-06-19,-Inf
25,-80.5,2015-06-20,-Inf
25,-80.5,2015-06-21,-Inf
25,-80.5,2015-06-22,-Inf
25,-80.5,2015-06-23,-Inf
25,-80.5,2015-06-24,-Inf
25,-80.5,2015-06-25,-Inf
25,-80.5,2015-06-26,-Inf
25,-80.5,2015-06-27,-Inf
25,-80.5,2015-06-28,-Inf
25,-80.5,2015-06-29,-Inf
25,-80.5,2015-06-30,-Inf
25,-80.4,2015-06-01,-Inf
25,-80.4,2015-06-02,-Inf
25,-80.4,2015-06-03,-Inf
25,-80.4,2015-06-04,-Inf
25,-80.4,2015-06-05,-Inf
25,-80.4,2015-06-06,-Inf
25,-80.4,2015-06-07,-Inf
25,-80.4,2015-06-08,-Inf
25,-80.4,2015-06-09,-Inf
25,-80.4,2015-06-10,-Inf
25,-80.4,2015-06-11,-Inf
25,-80.4,2015-06-12,-Inf
25,-80.4,2015-06-13,-Inf
25,-80.4,2015-06-14,-Inf
25,-80.4,2015-06-15,-Inf
25,-80.4,2015-06-16,-Inf
25,-80.4,2015-06-17,-Inf
25,-80.4,2015-06-18,-Inf
25,-80.4,2015-06-19,-Inf
25,-80.4,2015-06-20,-Inf
25,-80.4,2015-06-21,-Inf
25,-80.4,2015-06-22,-Inf
25,-80.4,2015-06-23,-Inf
25,-80.4,2015-06-24,-Inf
25,-80.4,2015-06-25,-Inf
25,-80.4,2015-06-26,-Inf
25,-80.4,2015-06-27,-Inf
25,-80.4,2015-06-28,-Inf
25,-80.4,2015-06-29,-Inf
25,-80.4,2015-06-30,-Inf
25,-80.3,2015-06-01,-Inf
25,-80.3,2015-06-02,-Inf
25,-80.3,2015-06-03,-Inf
25,-80.3,2015-06-04,-Inf
25,-80.3,2015-06-05,-Inf
25,-80.3,2015-06-06,-Inf
25,-80.3,2015-06-07,-Inf
25,-80.3,2015-06-08,-Inf
25,-80.3,2015-06-09,-Inf
25,-80.3,2015-06-10,-Inf
25,-80.3,2015-06-11,-Inf
25,-80.3,2015-06-12,-Inf
25,-80.3,2015-06-13,-Inf
25,-80.3,2015-06-14,-Inf
25,-80.3,2015-06-15,-Inf
25,-80.3,2015-06-16,-Inf
25,-80.3,2015-06-17,-Inf
25,-80.3,2015-06-18,-Inf
25,-80.3,2015-06-19,-Inf
25,-80.3,2015-06-20,-Inf
25,-80.3,2015-06-21,-Inf
25,-80.3,2015-06-22,-Inf
25,-80.3,2015-06-23,-Inf
25,-80.3,2015-06-24,-Inf
25,-80.3,2015-06-25,-Inf
25,-80.3,2015-06-26,-Inf
25,-80.3,2015-06-27,-Inf
25,-80.3,2015-06-28,-Inf
25,-80.3,2015-06-29,-Inf
25,-80.3,2015-06-30,-Inf
25,-80.2,2015-06-01,-Inf
25,-80.2,2015-06-02,-Inf
25,-80.2,2015-06-03,-Inf
25,-80.2,2015-06-04,-Inf
25,-80.2,2015-06-05,-Inf
25,-80.2,2015-06-06,-Inf
25,-80.2,2015-06-07,-Inf
25,-80.2,2015-06-08,-Inf
25,-80.2,2015-06-09,-Inf
25,-80.2,2015-06-10,-Inf
25,-80.2,2015-06-11,-Inf
25,-80.2,2015-06-12,-Inf
25,-80.2,2015-06-13,-Inf
25,-80.2,2015-06-14,-Inf
25,-80.2,2015-06-15,-Inf
25,-80.2,2015-06-16,-Inf
25,-80.2,2015-06-17,-Inf
25,-80.2,2015-06-18,-Inf
25,-80.2,2015-06-19,-Inf
25,-80.2,2015-06-20,-Inf
25,-80.2,2015-06-21,-Inf
25,-80.2,2015-06-22,-Inf
25,-80.2,2015-06-23,-Inf
25,-80.2,2015-06-24,-Inf
25,-80.2,2015-06-25,-Inf
25,-80.2,2015-06-26,-Inf
25,-80.2,2015-06-27,-Inf
25,-80.2,2015-06-28,-Inf
25,-80.2,2015-06-29,-Inf
25,-80.2,2015-06-30,-Inf
25,-80.1,2015-06-01,-Inf
25,-80.1,2015-06-02,-Inf
25,-80.1,2015-06-03,-Inf
25,-80.1,2015-06-04,-Inf
25,-80.1,2015-06-05,-Inf
25,-80.1,2015-06-06,-Inf
25,-80.1,2015-06-07,-Inf
25,-80.1,2015-06-08,-Inf
25,-80.1,2015-06-09,-Inf
25,-80.1,2015-06-10,-Inf
25,-80.1,2015-06-11,-Inf
25,-80.1,2015-06-12,-Inf
25,-80.1,2015-06-13,-Inf
25,-80.1,2015-06-14,-Inf
25,-80.1,2015-06-15,-Inf
25,-80.1,2015-06-16,-Inf
25,-80.1,2015-06-17,-Inf
25,-80.1,2015-06-18,-Inf
25,-80.1,2015-06-19,-Inf
25,-80.1,2015-06-20,-Inf
25,-80.1,2015-06-21,-Inf
25,-80.1,2015-06-22,-Inf
25,-80.1,2015-06-23,-Inf
25,-80.1,2015-06-24,-Inf
25,-80.1,2015-06-25,-Inf
25,-80.1,2015-06-26,-Inf
25,-80.1,2015-06-27,-Inf
25,-80.1,2015-06-28,-Inf
25,-80.1,2015-06-29,-Inf
25,-80.1,2015-06-30,-Inf
25,-80,2015-06-01,-Inf
25,-80,2015-06-02,-Inf
25,-80,2015-06-03,-Inf
25,-80,2015-06-04,-Inf
25,-80,2015-06-05,-Inf
25,-80,2015-06-06,-Inf
25,-80,2015-06-07,-Inf
25,-80,2015-06-08,-Inf
25,-80,2015-06-09,-Inf
25,-80,2015-06-10,-Inf
25,-80,2015-06-11,-Inf
25,-80,2015-06-12,-Inf
25,-80,2015-06-13,-Inf
25,-80,2015-06-14,-Inf
25,-80,2015-06-15,-Inf
25,-80,2015-06-16,-Inf
25,-80,2015-06-17,-Inf
25,-80,2015-06-18,-Inf
25,-80,2015-06-19,-Inf
25,-80,2015-06-20,-Inf
25,-80,2015-06-21,-Inf
25,-80,2015-06-22,-Inf
25,-80,2015-06-23,-Inf
25,-80,2015-06-24,-Inf
25,-80,2015-06-25,-Inf
25,-80,2015-06-26,-Inf
25,-80,2015-06-27,-Inf
25,-80,2015-06-28,-Inf
25,-80,2015-06-29,-Inf
25,-80,2015-06-30,-Inf
25,-79.9,2015-06-01,-Inf
25,-79.9,2015-06-02,-Inf
25,-79.9,2015-06-03,-Inf
25,-79.9,2015-06-04,-Inf
25,-79.9,2015-06-05,-Inf
25,-79.9,2015-06-06,-Inf
25,-79.9,2015-06-07,-Inf
25,-79.9,2015-06-08,-Inf
25,-79.9,2015-06-09,-Inf
25,-79.9,2015-06-10,-Inf
25,-79.9,2015-06-11,-Inf
25,-79.9,2015-06-12,-Inf
25,-79.9,2015-06-13,-Inf
25,-79.9,2015-06-14,-Inf
25,-79.9,2015-06-15,-Inf
25,-79.9,2015-06-16,-Inf
25,-79.9,2015-06-17,-Inf
25,-79.9,2015-06-18,-Inf
25,-79.9,2015-06-19,-Inf
25,-79.9,2015-06-20,-Inf
25,-79.9,2015-06-21,-Inf
25,-79.9,2015-06-22,-Inf
25,-79.9,2015-06-23,-Inf
25,-79.9,2015-06-24,-Inf
25,-79.9,2015-06-25,-Inf
25,-79.9,2015-06-26,-Inf
25,-79.9,2015-06-27,-Inf
25,-79.9,2015-06-28,-Inf
25,-79.9,2015-06-29,-Inf
25,-79.9,2015-06-30,-Inf
25,-79.8,2015-06-01,-Inf
25,-79.8,2015-06-02,-Inf
25,-79.8,2015-06-03,-Inf
25,-79.8,2015-06-04,-Inf
25,-79.8,2015-06-05,-Inf
25,-79.8,2015-06-06,-Inf
25,-79.8,2015-06-07,-Inf
25,-79.8,2015-06-08,-Inf
25,-79.8,2015-06-09,-Inf
25,-79.8,2015-06-10,-Inf
25,-79.8,2015-06-11,-Inf
25,-79.8,2015-06-12,-Inf
25,-79.8,2015-06-13,-Inf
25,-79.8,2015-06-14,-Inf
25,-79.8,2015-06-15,-Inf
25,-79.8,2015-06-16,-Inf
25,-79.8,2015-06-17,-Inf
25,-79.8,2015-06-18,-Inf
25,-79.8,2015-06-19,-Inf
25,-79.8,2015-06-20,-Inf
25,-79.8,2015-06-21,-Inf
25,-79.8,2015-06-22,-Inf
25,-79.8,2015-06-23,-Inf
25,-79.8,2015-06-24,-Inf
25,-79.8,2015-06-25,-Inf
25,-79.8,2015-06-26,-Inf
25,-79.8,2015-06-27,-Inf
25,-79.8,2015-06-28,-Inf
25,-79.8,2015-06-29,-Inf
25,-79.8,2015-06-30,-Inf
25,-79.7,2015-06-01,-Inf
25,-79.7,2015-06-02,-Inf
25,-79.7,2015-06-03,-Inf
25,-79.7,2015-06-04,-Inf
25,-79.7,2015-06-05,-Inf
25,-79.7,2015-06-06,-Inf
25,-79.7,2015-06-07,-Inf
25,-79.7,2015-06-08,-Inf
25,-79.7,2015-06-09,-Inf
25,-79.7,2015-06-10,-Inf
25,-79.7,2015-06-11,-Inf
25,-79.7,2015-06-12,-Inf
25,-79.7,2015-06-13,-Inf
25,-79.7,2015-06-14,-Inf
25,-79.7,2015-06-15,-Inf
25,-79.7,2015-06-16,-Inf
25,-79.7,2015-06-17,-Inf
25,-79.7,2015-06-18,-Inf
25,-79.7,2015-06-19,-Inf
25,-79.7,2015-06-20,-Inf
25,-79.7,2015-06-21,-Inf
25,-79.7,2015-06-22,-Inf
25,-79.7,2015-06-23,-Inf
25,-79.7,2015-06-24,-Inf
25,-79.7,2015-06-25,-Inf
25,-79.7,2015-06-26,-Inf
25,-79.7,2015-06-27,-Inf
25,-79.7,2015-06-28,-Inf
25,-79.7,2015-06-29,-Inf
25,-79.7,2015-06-30,-Inf
25,-79.6,2015-06-01,-Inf
25,-79.6,2015-06-02,-Inf
25,-79.6,2015-06-03,-Inf
25,-79.6,2015-06-04,-Inf
25,-79.6,2015-06-05,-Inf
25,-79.6,2015-06-06,-Inf
25,-79.6,2015-06-07,-Inf
25,-79.6,2015-06-08,-Inf
25,-79.6,2015-06-09,-Inf
25,-79.6,2015-06-10,-Inf
25,-79.6,2015-06-11,-Inf
25,-79.6,2015-06-12,-Inf
25,-79.6,2015-06-13,-Inf
25,-79.6,2015-06-14,-Inf
25,-79.6,2015-06-15,-Inf
25,-79.6,2015-06-16,-Inf
25,-79.6,2015-06-17,-Inf
25,-79.6,2015-06-18,-Inf
25,-79.6,2015-06-19,-Inf
25,-79.6,2015-06-20,-Inf
25,-79.6,2015-06-21,-Inf
25,-79.6,2015-06-22,-Inf
25,-79.6,2015-06-23,-Inf
25,-79.6,2015-06-24,-Inf
25,-79.6,2015-06-25,-Inf
